TMURL,TMId
https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2010/sort/rn,
https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2010/sort/spieler.desc,
https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2010/sort/age,
https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2010/sort/vertrag_bis,
https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2010/sort/marktwert.desc,
https://www.transfermarkt.com#,
https://www.transfermarkt.com/petr-cech/profil/spieler/5658,5658
https://www.transfermarkt.com/ross-turnbull/profil/spieler/29159,29159
https://www.transfermarkt.com/henrique-hilario/profil/spieler/13886,13886
https://www.transfermarkt.com/john-terry/profil/spieler/3160,3160
https://www.transfermarkt.com/branislav-ivanovic/profil/spieler/36827,36827
https://www.transfermarkt.com/vereinslos/startseite/verein/515,
https://www.transfermarkt.com/sl-benfica/startseite/verein/294/saison_id/2010,
https://www.transfermarkt.com/david-luiz/profil/spieler/46741,46741
https://www.transfermarkt.com/flamengo-rio-de-janeiro/startseite/verein/614,
https://www.transfermarkt.com/alex/profil/spieler/15420,15420
https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2010,
https://www.transfermarkt.com/michael-mancienne/profil/spieler/38100,38100
https://www.transfermarkt.com/burton-albion/startseite/verein/2963,
https://www.transfermarkt.com/leicester-city/startseite/verein/1003/saison_id/2010,
https://www.transfermarkt.com/jeffrey-bruma/profil/spieler/88721,88721
https://www.transfermarkt.com/kasimpasa/startseite/verein/10484,
https://www.transfermarkt.com/ashley-cole/profil/spieler/3182,3182
https://www.transfermarkt.com/yuri-zhirkov/profil/spieler/16760,16760
https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2010,
https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,40611
https://www.transfermarkt.com/leicester-city/startseite/verein/1003,
https://www.transfermarkt.com/patrick-van-aanholt/profil/spieler/52119,52119
https://www.transfermarkt.com/galatasaray-istanbul/startseite/verein/141,
https://www.transfermarkt.com/bosingwa/profil/spieler/9813,9813
https://www.transfermarkt.com/paulo-ferreira/profil/spieler/9832,9832
https://www.transfermarkt.com/jacopo-sala/profil/spieler/96806,96806
https://www.transfermarkt.com/spezia-calcio/startseite/verein/3522,
https://www.transfermarkt.com/michael-essien/profil/spieler/5588,5588
https://www.transfermarkt.com/john-mikel-obi/profil/spieler/30739,30739
https://www.transfermarkt.com/nathaniel-chalobah/profil/spieler/128900,128900
https://www.transfermarkt.com/fc-fulham/startseite/verein/931,
https://www.transfermarkt.com/frank-lampard/profil/spieler/3163,3163
https://www.transfermarkt.com/ramires/profil/spieler/54170,54170
https://www.transfermarkt.com/chelsea-fc-u23/startseite/verein/9250/saison_id/2010,
https://www.transfermarkt.com/josh-mceachran/profil/spieler/128905,128905
https://www.transfermarkt.com/milton-keynes-dons/startseite/verein/991,
https://www.transfermarkt.com/jacob-mellis/profil/spieler/50379,50379
https://www.transfermarkt.com/billy-clifford/profil/spieler/128194,128194
https://www.transfermarkt.com/havant-amp-waterlooville-fc/startseite/verein/2794,
https://www.transfermarkt.com/fulham-fc/startseite/verein/931/saison_id/2010,
https://www.transfermarkt.com/gael-kakuta/profil/spieler/74297,74297
https://www.transfermarkt.com/rc-lens/startseite/verein/826,
https://www.transfermarkt.com/florent-malouda/profil/spieler/5461,5461
https://www.transfermarkt.com/salomon-kalou/profil/spieler/7971,7971
https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2010,
https://www.transfermarkt.com/fabio-borini/profil/spieler/96754,96754
https://www.transfermarkt.com/fatih-karagumruk/startseite/verein/6646,
https://www.transfermarkt.com/liverpool-fc/startseite/verein/31/saison_id/2010,
https://www.transfermarkt.com/yossi-benayoun/profil/spieler/7858,7858
https://www.transfermarkt.com/fernando-torres/profil/spieler/7767,7767
https://www.transfermarkt.com/didier-drogba/profil/spieler/3924,3924
https://www.transfermarkt.com/nicolas-anelka/profil/spieler/3226,3226
https://www.transfermarkt.com/bolton-wanderers/startseite/verein/355/saison_id/2010,
https://www.transfermarkt.com/daniel-sturridge/profil/spieler/47082,47082
https://www.transfermarkt.com/perth-glory/startseite/verein/970,
https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2010/sort/rn,
https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2010/sort/spieler.desc,
https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2010/sort/age,
https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2010/sort/vertrag_bis,
https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2010/sort/marktwert.desc,
https://www.transfermarkt.com/edwin-van-der-sar/profil/spieler/3516,3516
https://www.transfermarkt.com/aalesunds-fk/startseite/verein/5619/saison_id/2010,
https://www.transfermarkt.com/anders-lindegaard/profil/spieler/22491,22491
https://www.transfermarkt.com/helsingborgs-if/startseite/verein/699,
https://www.transfermarkt.com/tomasz-kuszczak/profil/spieler/1320,1320
https://www.transfermarkt.com/oldham-athletic/startseite/verein/1078/saison_id/2010,
https://www.transfermarkt.com/ben-amos/profil/spieler/73472,73472
https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071,
https://www.transfermarkt.com/nemanja-vidic-lrm-/profil/spieler/19726,19726
https://www.transfermarkt.com/rio-ferdinand/profil/spieler/3235,3235
https://www.transfermarkt.com/jonny-evans/profil/spieler/42412,42412
https://www.transfermarkt.com/john-oshea/profil/spieler/3540,3540
https://www.transfermarkt.com/wes-brown/profil/spieler/3405,3405
https://www.transfermarkt.com/chris-smalling/profil/spieler/103427,103427
https://www.transfermarkt.com/as-rom/startseite/verein/12,
https://www.transfermarkt.com/portsmouth-fc/startseite/verein/1020/saison_id/2010,
https://www.transfermarkt.com/ritchie-de-laet/profil/spieler/55687,55687
https://www.transfermarkt.com/royal-antwerpen-fc/startseite/verein/1096,
https://www.transfermarkt.com/oliver-gill/profil/spieler/73506,73506
https://www.transfermarkt.com/patrice-evra/profil/spieler/5285,5285
https://www.transfermarkt.com/antonio-valencia/profil/spieler/33544,33544
https://www.transfermarkt.com/rafael/profil/spieler/61892,61892
https://www.transfermarkt.com/botafogo-rio-de-janeiro/startseite/verein/537,
https://www.transfermarkt.com/fabio/profil/spieler/61891,61891
https://www.transfermarkt.com/fc-nantes/startseite/verein/995,
https://www.transfermarkt.com/gary-neville/profil/spieler/3403,3403
https://www.transfermarkt.com/michael-carrick/profil/spieler/3878,3878
https://www.transfermarkt.com/owen-hargreaves/profil/spieler/201,201
https://www.transfermarkt.com/darren-fletcher/profil/spieler/3547,3547
https://www.transfermarkt.com/anderson/profil/spieler/31645,31645
https://www.transfermarkt.com/paul-scholes/profil/spieler/3397,3397
https://www.transfermarkt.com/darron-gibson/profil/spieler/42413,42413
https://www.transfermarkt.com/wigan-athletic/startseite/verein/1071/saison_id/2010,
https://www.transfermarkt.com/tom-cleverley/profil/spieler/73484,73484
https://www.transfermarkt.com/fc-watford/startseite/verein/1010,
https://www.transfermarkt.com/corry-evans/profil/spieler/73501,73501
https://www.transfermarkt.com/afc-sunderland/startseite/verein/289,
https://www.transfermarkt.com/paul-pogba/profil/spieler/122153,122153
https://www.transfermarkt.com/manchester-united/startseite/verein/985,
https://www.transfermarkt.com/ryan-tunnicliffe/profil/spieler/110868,110868
https://www.transfermarkt.com/fc-portsmouth/startseite/verein/1020,
https://www.transfermarkt.com/ryan-giggs/profil/spieler/3406,3406
https://www.transfermarkt.com/robbie-brady/profil/spieler/128229,128229
https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989,
https://www.transfermarkt.com/ji-sung-park/profil/spieler/4592,4592
https://www.transfermarkt.com/gabriel-obertan/profil/spieler/43261,43261
https://www.transfermarkt.com/charlotte-independence/startseite/verein/46717,
https://www.transfermarkt.com/magnus-wolff-eikrem/profil/spieler/54775,54775
https://www.transfermarkt.com/molde-fk/startseite/verein/687,
https://www.transfermarkt.com/ravel-morrison/profil/spieler/128907,128907
https://www.transfermarkt.com/derby-county/startseite/verein/22,
https://www.transfermarkt.com/nani/profil/spieler/33706,33706
https://www.transfermarkt.com/orlando-city-sc/startseite/verein/45604,
https://www.transfermarkt.com/vitoria-guimaraes-sc/startseite/verein/2420/saison_id/2010,
https://www.transfermarkt.com/bebe/profil/spieler/153427,153427
https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367,
https://www.transfermarkt.com/joshua-king/profil/spieler/91059,91059
https://www.transfermarkt.com/wayne-rooney/profil/spieler/3332,3332
https://www.transfermarkt.com/dimitar-berbatov/profil/spieler/65,65
https://www.transfermarkt.com/deportivo-guadalajara/startseite/verein/6711/saison_id/2010,
https://www.transfermarkt.com/chicharito/profil/spieler/50935,50935
https://www.transfermarkt.com/los-angeles-galaxy/startseite/verein/1061,
https://www.transfermarkt.com/michael-owen/profil/spieler/1397,1397
https://www.transfermarkt.com/sunderland-afc/startseite/verein/289/saison_id/2010,
https://www.transfermarkt.com/danny-welbeck/profil/spieler/67063,67063
https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237,
https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2010,
https://www.transfermarkt.com/mame-diouf/profil/spieler/62049,62049
https://www.transfermarkt.com/hatayspor/startseite/verein/7775,
https://www.transfermarkt.com/uc-sampdoria/startseite/verein/1038/saison_id/2010,
https://www.transfermarkt.com/federico-macheda/profil/spieler/61887,61887
https://www.transfermarkt.com/panathinaikos-athen/startseite/verein/265,
https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2010/sort/rn,
https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2010/sort/spieler.desc,
https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2010/sort/age,
https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2010/sort/vertrag_bis,
https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2010/sort/marktwert.desc,
https://www.transfermarkt.com/joe-hart/profil/spieler/40204,40204
https://www.transfermarkt.com/celtic-glasgow/startseite/verein/371,
https://www.transfermarkt.com/shay-given/profil/spieler/3146,3146
https://www.transfermarkt.com/stuart-taylor/profil/spieler/3190,3190
https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2010,
https://www.transfermarkt.com/david-gonzalez/profil/spieler/52267,52267
https://www.transfermarkt.com/vincent-kompany/profil/spieler/9594,9594
https://www.transfermarkt.com/kolo-toure/profil/spieler/3202,3202
https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2010,
https://www.transfermarkt.com/jerome-boateng/profil/spieler/26485,26485
https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041,
https://www.transfermarkt.com/joleon-lescott/profil/spieler/4241,4241
https://www.transfermarkt.com/nedum-onuoha/profil/spieler/28810,28810
https://www.transfermarkt.com/manchester-city-u23/startseite/verein/9265/saison_id/2010,
https://www.transfermarkt.com/dedryck-boyata/profil/spieler/88262,88262
https://www.transfermarkt.com/hertha-bsc/startseite/verein/44,
https://www.transfermarkt.com/frederic-veseli/profil/spieler/111433,111433
https://www.transfermarkt.com/us-salernitana-1919/startseite/verein/380,
https://www.transfermarkt.com/ben-mee/profil/spieler/74810,74810
https://www.transfermarkt.com/fc-burnley/startseite/verein/1132,
https://www.transfermarkt.com/ss-lazio/startseite/verein/398/saison_id/2010,
https://www.transfermarkt.com/aleksandar-kolarov/profil/spieler/46156,46156
https://www.transfermarkt.com/inter-mailand/startseite/verein/46,
https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2010,
https://www.transfermarkt.com/wayne-bridge/profil/spieler/3682,3682
https://www.transfermarkt.com/walsall-fc/startseite/verein/899/saison_id/2010,
https://www.transfermarkt.com/ryan-mcgivern/profil/spieler/61632,61632
https://www.transfermarkt.com/newry-city-afc/startseite/verein/6068,
https://www.transfermarkt.com/greg-cunningham/profil/spieler/114093,114093
https://www.transfermarkt.com/preston-north-end/startseite/verein/466,
https://www.transfermarkt.com/chris-chantler/profil/spieler/121403,121403
https://www.transfermarkt.com/fc-colne/startseite/verein/53942,
https://www.transfermarkt.com/pablo-zabaleta/profil/spieler/20007,20007
https://www.transfermarkt.com/micah-richards/profil/spieler/32617,32617
https://www.transfermarkt.com/shay-logan/profil/spieler/58579,58579
https://www.transfermarkt.com/cove-rangers-fc/startseite/verein/8933,
https://www.transfermarkt.com/chesterfield-fc/startseite/verein/1219/saison_id/2010,
https://www.transfermarkt.com/javan-vidal/profil/spieler/99452,99452
https://www.transfermarkt.com/manchester-city-u18/startseite/verein/6930/saison_id/2010,
https://www.transfermarkt.com/reece-wabara/profil/spieler/121416,121416
https://www.transfermarkt.com/omar-elabdellaoui/profil/spieler/121404,121404
https://www.transfermarkt.com/nigel-de-jong/profil/spieler/4672,4672
https://www.transfermarkt.com/gareth-barry/profil/spieler/3291,3291
https://www.transfermarkt.com/patrick-vieira/profil/spieler/3183,3183
https://www.transfermarkt.com/michael-johnson/profil/spieler/45274,45274
https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2010,
https://www.transfermarkt.com/yaya-toure/profil/spieler/13091,13091
https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2010,
https://www.transfermarkt.com/james-milner/profil/spieler/3333,3333
https://www.transfermarkt.com/fc-liverpool/startseite/verein/31,
https://www.transfermarkt.com/scunthorpe-united/startseite/verein/2964/saison_id/2010,
https://www.transfermarkt.com/abdisalam-ibrahim/profil/spieler/121406,121406
https://www.transfermarkt.com/scott-kay/profil/spieler/121408,121408
https://www.transfermarkt.com/abdul-razak/profil/spieler/177321,177321
https://www.transfermarkt.com/unbekannt/startseite/verein/75,
https://www.transfermarkt.com/valencia-cf/startseite/verein/1049/saison_id/2010,
https://www.transfermarkt.com/david-silva/profil/spieler/35518,35518
https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681,
https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2010,
https://www.transfermarkt.com/craig-bellamy/profil/spieler/3297,3297
https://www.transfermarkt.com/rangers-fc/startseite/verein/124/saison_id/2010,
https://www.transfermarkt.com/vladimir-weiss/profil/spieler/92701,92701
https://www.transfermarkt.com/slovan-bratislava/startseite/verein/540,
https://www.transfermarkt.com/adam-johnson/profil/spieler/31579,31579
https://www.transfermarkt.com/pausiert/startseite/verein/2113,
https://www.transfermarkt.com/shaun-wright-phillips/profil/spieler/3467,3467
https://www.transfermarkt.com/carlos-tevez/profil/spieler/4276,4276
https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2010,
https://www.transfermarkt.com/edin-dzeko/profil/spieler/28396,28396
https://www.transfermarkt.com/inter-milan/startseite/verein/46/saison_id/2010,
https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146,45146
https://www.transfermarkt.com/adana-demirspor/startseite/verein/3840,
https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2010,
https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883,8883
https://www.transfermarkt.com/galatasaray-a-s-/startseite/verein/141/saison_id/2009,
https://www.transfermarkt.com/jotm/profil/spieler/34156,34156
https://www.transfermarkt.com/corinthians-sao-paulo/startseite/verein/199,
https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215,215
https://www.transfermarkt.com/olimpia-asuncion/startseite/verein/629,
https://www.transfermarkt.com/burnley-fc/startseite/verein/1132/saison_id/2010,
https://www.transfermarkt.com/john-guidetti/profil/spieler/98596,98596
https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108,
https://www.transfermarkt.com/alex-nimely/profil/spieler/121410,121410
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/rn,
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/spieler.desc,
https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2010/sort/age,
